collection	gene_set_name	gene_symbol	species
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Aunip	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Blnk	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Cd72	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Dnajc13	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Dntt	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Ercc2	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Erlin1	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	F11r	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Hdac6	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Paqr5	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Slc29a1	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Spns2	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Tmem2	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Xrn1	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Zmym3	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Ncr1	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Srgap1	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Faah	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Trbc1	Mouse
H: hallmark gene sets	HALLMARK_MYC_TARGETS_V1	Cxcr5	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	1600002K03Rik	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	1700113H08Rik	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Adam12	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Adam8	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Arg1	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Asb2	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Bcl11b	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Camk4	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Ccr8	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Ccr9	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Cd3d	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Chad	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Ckb	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Cxcr5	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Cxcr6	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Dkk3	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Dll1	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Dph1	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Faah	Mouse
H: hallmark gene sets	HALLMARK_TGF_BETA_SIGNALING	Fam179a	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	1600002K03Rik	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	A430046D13Rik	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Adam8	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Chad	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Ckb	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Cxcr5	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Erlin1	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Fam179a	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Fgf15	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Fgf3	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Grhpr	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Gtpbp10	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Il2rb	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Lef1	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Megf10	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Orc4	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	P2rx7	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Rxrg	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Sgk3	Mouse
H: hallmark gene sets	HALLMARK_INFLAMMATORY_RESPONSE	Spns2	Mouse
