Gene	A1	A2	A3	B1	B2	B3	C1	C2	C3
1600002K03Rik	-1.6578211135839	1.86841354407005	-1.32587443615136	1.95521519481698	1.10045684213824	1.62414533952398	1.73050014145225	2.80906387843583	1.07963720010883
1700113H08Rik	-4.32376448301787	-4.4875346150548	-4.3371305089865	-4.2609203523674	-4.3444218719464	2.49658082465663	6.71887334422371	5.7968951522023	6.93205884629738
4931406C07Rik	1.92389149197533	4.76475160078151	2.25934108120594	3.319059004278	2.356366960309	2.39312327895696	1.3951526591983	4.39089195307754	2.35929632336123
A430046D13Rik	3.45548436518032	1.31198460708647	1.48719280891741	3.12034338807978	2.86814542642073	5.30293969233238	2.71274613943597	0.655339367709991	2.30669330221402
Adam12	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	0.113240010674195	-2.61590745126957	5.99745323033735	7.85442188605671	6.58206389695296
Adam8	-4.32376448301787	-4.4875346150548	-4.83974850410395	2.30719423962276	4.43166547681374	4.40808116011902	7.3488161295373	8.13006301715215	7.65177494837437
Aimp2	5.51860540639909	5.73744809103988	5.58475650099112	6.35060444435221	4.97731028785311	5.31279064587105	4.45956075509539	5.43609671817331	4.97731028785311
Arg1	0.912751050851223	-4.4875346150548	-4.31142767053023	-4.2609203523674	-1.35788431110429	5.22049193581858	8.31553437646069	8.81605433512705	9.69181477571522
Asb2	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	2.39966947417354	5.32660851041673	7.29428857373721	6.27794798498783	7.36624698304987
Aunip	2.86814542642073	5.08533425328672	5.3690447802675	1.72404838009515	3.03834893022481	-2.61590745126957	4.20089300594628	0.655339367709991	2.87081921241311
Bcl11b	-4.32376448301787	-4.4875346150548	-4.4285885354216	-1.47435738323323	2.71156746170641	3.31577865647036	7.43619239299289	5.305439706239	8.35932594239683
Blnk	7.49542909310639	8.50056325174442	7.22067505275554	-4.2609203523674	3.83332367046543	-2.61590745126957	-3.69349500057659	2.80906387843583	-3.30086346308622
Camk4	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	-4.3444218719464	-2.61590745126957	6.76588667824167	5.94448128914127	7.14661998976813
Ccr8	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	1.03518993766143	4.99858624710944	7.1880369867998	5.52167076128682	6.94668760516646
Ccr9	5.78482962776835	1.57979140025248	2.21503459419918	-4.2609203523674	-4.3444218719464	-2.61590745126957	8.28234088671192	5.65230131460952	8.79040194781942
Cd3d	-4.32376448301787	-4.4875346150548	-4.35171323490631	-4.2609203523674	1.72753154829938	-2.61590745126957	1.07741078308255	4.32053438426775	1.24897585987939
Cd72	6.0710991092885	6.21480383170467	6.01898571704795	4.28534452816577	4.92110525968521	5.1617567182201	4.28853307229475	5.44484713353863	3.6037055563092
Chad	-4.32376448301787	-4.4875346150548	-4.27926026861967	4.74680240271428	5.36932308134719	5.83923003600331	6.44016179541886	7.8343036546732	6.85772813749234
Churc1	5.0812428160908	5.32186719719594	5.33907408710412	4.77965841192069	5.63891092438979	5.25357295937034	5.35426983554836	5.50736216089031	5.33100521551269
Ckb	-4.32376448301787	-1.69223812691567	-4.27926026861967	2.70316518740891	5.15598237421693	5.03864188691518	8.91579971941741	8.15990669902737	9.19570919946073
Cxcr5	-4.32376448301787	-3.98647293749223	0.91096987256054	2.41988048181545	6.72996121169822	7.5045254868742	7.8057242957557	8.28907653075378	7.26233309992679
Cxcr6	-4.32376448301787	-4.4875346150548	-4.83974850410395	-4.2609203523674	-4.3444218719464	4.98649442596606	10.3606674749049	8.27023914862018	9.86799924624943
Diablo	7.29301826949063	6.88901312719248	7.01658344641835	6.82123748659019	6.36464504680253	6.50310551161095	6.5265097553563	6.89264693074035	6.11704674150875
Dkk3	-4.32376448301787	-4.4875346150548	-4.83974850410395	1.98115921773713	-4.3444218719464	4.24734851296463	7.25970880813536	5.51894360476501	7.59881752867359
Dll1	-3.14885169791929	-4.4875346150548	-4.83974850410395	-4.2609203523674	3.69880469908811	3.43743235203083	5.732361377781	5.79256170148948	6.89797429274154
Dnajc13	5.97072700555886	5.7170283974355	6.81852888405726	6.38882488702792	6.09006343102041	1.81446714131722	5.93478220865381	0.655339367709991	5.8323045293733
Dntt	11.9577284976149	11.9577284976149	11.9577284976149	6.43162162043878	6.80796282483525	6.49994565362774	-3.69349500057659	2.80906387843583	6.10415528193028
Dph1	4.32676422783416	3.68213025362433	4.76050415266232	5.55120098191197	4.64679290786121	5.02159586850473	5.21957285939806	5.76960645168456	4.79696763818514
Eif3f	7.42934939102577	7.44429277064543	7.14783966404536	7.31849056368334	7.16201110307969	7.2995913021588	7.0793392780468	7.23938720202802	6.55417760145956
Ercc2	3.75740515104622	3.63278118701611	3.31577865647036	3.22285160378731	3.52446496594454	2.14582849932823	1.72404838009515	0.655339367709991	4.3173600940467
Erlin1	6.86229587512317	7.19910575105072	6.84172782252798	6.91503650869321	6.8866001637559	5.67933333952883	4.46860817620918	5.7663770136174	4.75250441174731
F11r	1.03943486429366	2.32218624841409	2.01279177257035	1.72404838009515	-4.3444218719464	-2.61590745126957	-3.69349500057659	3.02307169257327	2.34682209230054
Faah	4.93423466173233	4.61799689610663	5.2486130122899	6.6304031610628	6.22389783855671	6.06888705712754	8.71064790201417	8.49617665473039	8.45708198740672
Fam107b	9.28618761274971	9.2350642119144	9.34723764037106	9.75037073035666	10.0663890320957	9.87751300044497	9.74193597582395	9.47222612778225	9.4464130059392
